Temperature (¡C),m/z 18 (H2O),m/z 32 (O2),m/z 44 (CO2),m/z 64 (SO2)
437.114,6.81E-09,7.02E-10,2.98E-09,2.24E-12
440.258,6.76E-09,6.98E-10,2.91E-09,3.19E-12
443.415,6.71E-09,6.96E-10,2.84E-09,2.56E-12
446.596,6.70E-09,6.94E-10,2.76E-09,2.59E-12
449.741,6.67E-09,6.98E-10,2.66E-09,2.63E-12
452.863,6.61E-09,6.87E-10,2.53E-09,2.42E-12
456.03,6.61E-09,6.86E-10,2.41E-09,2.50E-12
459.157,6.55E-09,6.78E-10,2.25E-09,2.45E-12
462.294,6.53E-09,6.83E-10,2.12E-09,2.97E-12
465.417,6.50E-09,6.75E-10,1.96E-09,3.08E-12
468.552,6.46E-09,6.67E-10,1.83E-09,2.74E-12
471.698,6.42E-09,6.69E-10,1.68E-09,2.61E-12
474.879,6.38E-09,6.63E-10,1.56E-09,2.56E-12
478.026,6.34E-09,6.41E-10,1.44E-09,2.56E-12
481.166,6.34E-09,6.40E-10,1.34E-09,2.29E-12
484.311,6.28E-09,6.41E-10,1.23E-09,2.59E-12
487.44,6.25E-09,6.23E-10,1.12E-09,2.44E-12
490.589,6.21E-09,6.33E-10,1.03E-09,2.76E-12
493.712,6.20E-09,6.30E-10,9.32E-10,2.13E-12
496.852,6.13E-09,6.21E-10,8.61E-10,2.82E-12
500.009,6.12E-09,6.15E-10,7.97E-10,2.39E-12
503.171,6.09E-09,6.11E-10,7.25E-10,2.71E-12
506.293,6.05E-09,5.99E-10,6.75E-10,2.81E-12
509.439,6.00E-09,5.99E-10,6.04E-10,2.70E-12
512.581,6.02E-09,5.87E-10,5.63E-10,2.77E-12
515.736,5.96E-09,5.90E-10,5.22E-10,3.29E-12
518.858,5.93E-09,5.71E-10,4.76E-10,3.36E-12
521.969,5.90E-09,5.63E-10,4.42E-10,3.50E-12
525.135,5.90E-09,5.58E-10,4.19E-10,3.84E-12
528.258,5.86E-09,5.51E-10,3.93E-10,4.11E-12
531.358,5.82E-09,5.58E-10,3.68E-10,4.84E-12
534.513,5.83E-09,5.53E-10,3.47E-10,5.25E-12
537.626,5.78E-09,5.50E-10,3.31E-10,4.85E-12
540.801,5.77E-09,5.54E-10,3.27E-10,5.57E-12
543.886,5.72E-09,5.51E-10,3.16E-10,5.65E-12
547.003,5.76E-09,5.49E-10,3.11E-10,5.26E-12
550.169,5.71E-09,5.48E-10,3.08E-10,6.15E-12
553.264,5.69E-09,5.44E-10,3.08E-10,5.91E-12
556.382,5.68E-09,5.43E-10,3.07E-10,6.78E-12
559.527,5.65E-09,5.39E-10,3.07E-10,6.84E-12
562.643,5.62E-09,5.37E-10,3.11E-10,6.73E-12
565.763,5.61E-09,5.35E-10,3.19E-10,6.59E-12
568.873,5.61E-09,5.30E-10,3.22E-10,6.57E-12
571.982,5.59E-09,5.36E-10,3.20E-10,6.79E-12
575.061,5.58E-09,5.39E-10,3.25E-10,7.96E-12
578.197,5.57E-09,5.34E-10,3.26E-10,7.16E-12
581.291,5.53E-09,5.36E-10,3.26E-10,7.32E-12
584.409,5.51E-09,5.36E-10,3.33E-10,7.72E-12
587.549,5.52E-09,5.29E-10,3.32E-10,8.00E-12
590.613,5.51E-09,5.31E-10,3.34E-10,8.33E-12
593.732,5.51E-09,5.24E-10,3.36E-10,7.79E-12
596.836,5.52E-09,5.30E-10,3.34E-10,8.78E-12
599.971,5.50E-09,5.20E-10,3.38E-10,8.52E-12
603.094,5.50E-09,5.20E-10,3.49E-10,8.38E-12
606.188,5.47E-09,5.18E-10,3.48E-10,9.19E-12
609.281,5.46E-09,5.22E-10,3.49E-10,8.60E-12
612.414,5.46E-09,5.17E-10,3.48E-10,1.01E-11
615.478,5.45E-09,5.28E-10,3.53E-10,1.20E-11
618.645,5.45E-09,5.19E-10,3.47E-10,9.08E-12
621.72,5.45E-09,5.15E-10,3.48E-10,8.93E-12
624.851,5.40E-09,5.18E-10,3.46E-10,1.29E-11
627.97,5.39E-09,5.10E-10,3.51E-10,1.16E-11
631.039,5.40E-09,5.17E-10,3.53E-10,8.91E-12
634.171,5.38E-09,5.15E-10,3.56E-10,1.13E-11
637.285,5.37E-09,5.08E-10,3.62E-10,1.40E-11
640.382,5.35E-09,5.14E-10,3.68E-10,1.22E-11
643.49,5.33E-09,5.11E-10,3.74E-10,1.33E-11
646.573,5.33E-09,5.11E-10,3.81E-10,1.47E-11
649.686,5.28E-09,5.08E-10,3.91E-10,1.23E-11
652.794,5.30E-09,5.07E-10,3.88E-10,1.56E-11
655.886,5.29E-09,5.09E-10,3.85E-10,1.69E-11
658.998,5.25E-09,5.01E-10,3.87E-10,1.78E-11
662.139,5.24E-09,4.99E-10,3.90E-10,1.64E-11
665.239,5.24E-09,4.95E-10,3.90E-10,1.90E-11
668.336,5.20E-09,4.93E-10,3.82E-10,1.87E-11
671.442,5.21E-09,4.95E-10,3.84E-10,1.92E-11
674.52,5.21E-09,4.96E-10,3.76E-10,2.10E-11
677.629,5.19E-09,4.95E-10,3.66E-10,2.23E-11
680.731,5.18E-09,4.89E-10,3.61E-10,2.33E-11
683.83,5.19E-09,4.84E-10,3.59E-10,2.59E-11
686.911,5.17E-09,4.87E-10,3.52E-10,2.58E-11
690.008,5.13E-09,4.88E-10,3.48E-10,2.66E-11
693.122,5.15E-09,4.77E-10,3.36E-10,2.84E-11
696.227,5.16E-09,4.85E-10,3.28E-10,3.11E-11
699.299,5.13E-09,4.75E-10,3.24E-10,3.46E-11
702.408,5.13E-09,4.71E-10,3.18E-10,3.49E-11
705.512,5.12E-09,4.68E-10,3.08E-10,3.79E-11
708.62,5.09E-09,4.65E-10,3.05E-10,3.87E-11
711.712,5.10E-09,4.60E-10,2.99E-10,4.44E-11
714.807,5.12E-09,4.61E-10,2.93E-10,4.54E-11
717.925,5.06E-09,4.58E-10,2.89E-10,5.02E-11
720.974,5.08E-09,4.54E-10,2.80E-10,5.14E-11
724.089,5.04E-09,4.53E-10,2.80E-10,5.57E-11
727.18,5.05E-09,4.49E-10,2.69E-10,6.05E-11
730.234,5.04E-09,4.46E-10,2.71E-10,6.63E-11
733.332,5.03E-09,4.37E-10,2.63E-10,6.85E-11
736.394,5.03E-09,4.39E-10,2.64E-10,7.42E-11
739.477,5.03E-09,4.38E-10,2.51E-10,7.88E-11
742.563,5.03E-09,4.37E-10,2.52E-10,8.69E-11
745.663,4.99E-09,4.38E-10,2.48E-10,9.22E-11
748.717,5.01E-09,4.29E-10,2.42E-10,1.01E-10
751.802,4.98E-09,4.31E-10,2.37E-10,1.07E-10
754.855,4.95E-09,4.23E-10,2.28E-10,1.17E-10
757.93,4.98E-09,4.25E-10,2.18E-10,1.28E-10
761.012,5.00E-09,4.20E-10,2.09E-10,1.37E-10
764.063,4.94E-09,4.24E-10,1.96E-10,1.42E-10
767.171,4.95E-09,4.25E-10,1.89E-10,1.52E-10
770.258,4.95E-09,4.21E-10,1.78E-10,1.69E-10
773.316,4.94E-09,4.23E-10,1.60E-10,1.77E-10
776.391,4.93E-09,4.28E-10,1.46E-10,1.91E-10
779.482,4.93E-09,4.26E-10,1.40E-10,2.01E-10
782.559,4.93E-09,4.26E-10,1.31E-10,2.09E-10
785.635,4.90E-09,4.25E-10,1.29E-10,2.22E-10
788.676,4.92E-09,4.29E-10,1.27E-10,2.42E-10
791.793,4.91E-09,4.27E-10,1.25E-10,2.50E-10
794.817,4.88E-09,4.35E-10,1.17E-10,2.70E-10
797.891,4.88E-09,4.34E-10,1.16E-10,2.80E-10
800.969,4.88E-09,4.39E-10,1.17E-10,2.93E-10
804.033,4.88E-09,4.40E-10,1.14E-10,3.07E-10
807.081,4.87E-09,4.42E-10,1.11E-10,3.22E-10
810.164,4.85E-09,4.47E-10,1.12E-10,3.38E-10
