Wavelength (nm),MMS1,MMS2,JSC Mars-1,MGS-1 Prototype
577,0.162943,0.156617,0.126878,0.170021
578,0.164852,0.159047,0.127973,0.17108
579,0.166786,0.16151,0.129104,0.172136
580,0.168706,0.163989,0.130236,0.1732
581,0.170637,0.166471,0.131356,0.174264
582,0.172585,0.168953,0.13246,0.175327
583,0.174507,0.171445,0.133559,0.176402
584,0.176443,0.173946,0.134658,0.177481
585,0.178391,0.176448,0.135755,0.178552
586,0.180309,0.178936,0.13684,0.1796
587,0.18222,0.181401,0.137963,0.180658
588,0.184121,0.18384,0.139092,0.181715
589,0.186002,0.186245,0.140171,0.182743
590,0.187864,0.188599,0.141241,0.183775
591,0.189708,0.190918,0.142324,0.184788
592,0.191537,0.193215,0.143427,0.18577
593,0.193333,0.195456,0.144499,0.186753
594,0.195078,0.197641,0.145581,0.187725
595,0.196779,0.199777,0.146683,0.188682
596,0.198489,0.201874,0.147756,0.189639
597,0.200168,0.203927,0.148848,0.190587
598,0.20183,0.205952,0.149957,0.191531
599,0.20352,0.207976,0.15106,0.192481
600,0.205227,0.209999,0.152201,0.193428
601,0.20694,0.212013,0.153367,0.194382
602,0.208647,0.214008,0.154538,0.19536
603,0.210311,0.215917,0.155709,0.196323
604,0.211818,0.217649,0.156846,0.197221
605,0.213136,0.219192,0.157924,0.198026
606,0.214369,0.220643,0.158919,0.198743
607,0.215538,0.222016,0.159927,0.199424
608,0.216673,0.223333,0.160973,0.200098
609,0.217828,0.224642,0.162006,0.200767
610,0.218966,0.2259,0.163038,0.201472
611,0.220058,0.227078,0.164061,0.202198
612,0.221078,0.228154,0.165061,0.202895
613,0.222028,0.229153,0.166074,0.203554
614,0.222954,0.230143,0.167098,0.20417
615,0.223891,0.231165,0.168125,0.204741
616,0.22478,0.232144,0.169157,0.205274
617,0.225622,0.233081,0.170176,0.205787
618,0.226421,0.233975,0.171178,0.206296
619,0.227183,0.234816,0.172194,0.206834
620,0.227965,0.235648,0.173192,0.20736
621,0.228779,0.236474,0.174182,0.207876
622,0.229574,0.23724,0.175195,0.208404
623,0.230327,0.237952,0.176199,0.208913
624,0.231044,0.238626,0.177185,0.209402
625,0.231741,0.239286,0.178159,0.209878
626,0.232354,0.239924,0.179144,0.2103
627,0.23293,0.240559,0.180132,0.210684
628,0.23352,0.241198,0.181109,0.211054
629,0.234131,0.241812,0.182075,0.211439
630,0.234741,0.242387,0.183048,0.211856
631,0.235339,0.242927,0.184037,0.212297
632,0.235942,0.243474,0.185034,0.212715
633,0.236524,0.243992,0.186034,0.213094
634,0.237099,0.244501,0.187035,0.213444
635,0.237703,0.245052,0.188037,0.213797
636,0.238278,0.245617,0.189045,0.214159
637,0.238839,0.24619,0.190073,0.214527
638,0.239411,0.24677,0.191125,0.214898
639,0.23999,0.247333,0.19216,0.215275
640,0.240556,0.247871,0.193193,0.215644
641,0.241103,0.248391,0.194246,0.216002
642,0.241662,0.24892,0.195318,0.216369
643,0.242237,0.249451,0.196376,0.216734
644,0.242824,0.24998,0.197416,0.217089
645,0.243407,0.250508,0.198479,0.217436
646,0.243988,0.251045,0.19954,0.217769
647,0.244574,0.251597,0.200608,0.218098
648,0.245177,0.25217,0.201703,0.21844
649,0.24578,0.252722,0.202754,0.218781
650,0.246389,0.253277,0.203813,0.219124
651,0.247014,0.253866,0.204933,0.219473
652,0.24763,0.254454,0.20603,0.219794
653,0.248256,0.255036,0.207105,0.220106
654,0.248905,0.255616,0.208168,0.220423
655,0.249567,0.256211,0.209236,0.220742
656,0.250231,0.256814,0.210296,0.221068
657,0.250887,0.257416,0.211357,0.221398
658,0.251541,0.258002,0.212466,0.221726
659,0.252192,0.25859,0.213549,0.222038
660,0.252856,0.259189,0.214611,0.222336
661,0.253548,0.259801,0.215694,0.222629
662,0.254233,0.26042,0.216775,0.222915
663,0.254928,0.261039,0.217834,0.223196
664,0.255648,0.261655,0.218865,0.223475
665,0.256375,0.262295,0.21992,0.223748
666,0.257099,0.262942,0.220982,0.224038
667,0.257822,0.263592,0.222033,0.224351
668,0.258559,0.264248,0.223052,0.224656
669,0.259288,0.264914,0.224088,0.224965
670,0.260013,0.265587,0.225144,0.225273
671,0.26077,0.266261,0.226191,0.225558
672,0.261517,0.266939,0.227238,0.225841
673,0.262261,0.267632,0.228279,0.226126
674,0.263027,0.268352,0.229302,0.226411
675,0.263784,0.269038,0.230333,0.226713
676,0.264548,0.269717,0.231355,0.227007
677,0.265334,0.270426,0.232366,0.227286
678,0.266101,0.27113,0.233396,0.227575
679,0.266868,0.271858,0.234416,0.227849
680,0.267646,0.272612,0.235412,0.228104
681,0.268422,0.273344,0.2364,0.228374
682,0.269229,0.274093,0.237396,0.228637
683,0.270062,0.274854,0.23839,0.228896
684,0.270887,0.275601,0.239351,0.229165
685,0.271716,0.276335,0.240315,0.229435
686,0.27254,0.277065,0.241285,0.229709
687,0.273358,0.277811,0.242258,0.229997
688,0.274175,0.278559,0.243214,0.230281
689,0.274988,0.279311,0.244149,0.230547
690,0.2758,0.280065,0.245072,0.230789
691,0.276612,0.280809,0.246027,0.231029
692,0.277435,0.281545,0.246973,0.231275
693,0.278267,0.282279,0.247899,0.231528
694,0.279089,0.283023,0.24883,0.231777
695,0.27994,0.28379,0.24975,0.232034
696,0.280819,0.284578,0.250669,0.232301
697,0.281688,0.285367,0.251597,0.232567
698,0.282521,0.286148,0.252547,0.232833
699,0.283347,0.286929,0.253499,0.233086
700,0.284199,0.28772,0.25443,0.233319
701,0.285049,0.288515,0.255337,0.23354
702,0.285906,0.289324,0.256237,0.233769
703,0.286765,0.290139,0.257139,0.234008
704,0.287604,0.290931,0.258049,0.234231
705,0.288439,0.291717,0.258944,0.234451
706,0.289286,0.292514,0.259833,0.234681
707,0.290161,0.29333,0.260741,0.234922
708,0.29103,0.294137,0.261618,0.235163
709,0.291888,0.294928,0.262492,0.235395
710,0.292743,0.295706,0.263405,0.235611
711,0.293599,0.296479,0.264307,0.235824
712,0.294458,0.297245,0.265203,0.236043
713,0.29532,0.298003,0.266097,0.236272
714,0.296157,0.298759,0.266954,0.2365
715,0.296988,0.299505,0.267819,0.236703
716,0.29782,0.300228,0.268705,0.23688
717,0.298658,0.300924,0.269595,0.237076
718,0.299483,0.301619,0.27048,0.237264
719,0.300293,0.302321,0.271356,0.237449
720,0.301092,0.303024,0.27222,0.237648
721,0.301862,0.303736,0.273062,0.237843
722,0.302626,0.304448,0.273908,0.238031
