Temperature (¡C),Mass (%)
59.5059,99.6262
59.6133,99.6252
59.72,99.624
59.8257,99.6228
59.9309,99.6217
60.0359,99.6205
60.14,99.6192
60.2437,99.6179
60.3469,99.6165
60.4505,99.6151
60.5551,99.6137
60.6615,99.6123
60.7686,99.6109
60.8765,99.6095
60.9814,99.6081
61.0909,99.6068
61.2018,99.6054
61.3135,99.6041
61.4264,99.6028
61.5361,99.6015
61.6495,99.6001
61.7629,99.5987
61.8765,99.5973
61.9902,99.596
62.1034,99.5946
62.2156,99.5931
62.3268,99.5917
62.4376,99.5903
62.5476,99.5887
62.657,99.5873
62.7659,99.5857
62.8738,99.5842
62.9811,99.5828
63.0877,99.5813
63.1951,99.5801
63.3031,99.5787
63.4073,99.5773
63.5159,99.5762
63.6255,99.575
63.7358,99.5739
63.8477,99.5728
63.9568,99.5718
64.0711,99.5707
64.1864,99.5697
64.3017,99.5688
64.4176,99.5677
64.534,99.5667
64.65,99.5658
64.7648,99.5648
64.8781,99.5637
64.99,99.5626
65.1008,99.5616
65.2095,99.5604
65.3165,99.5593
65.4223,99.558
65.5276,99.5568
65.6323,99.5554
65.7289,99.554
65.8343,99.5528
65.9403,99.5514
66.0463,99.55
66.153,99.5487
66.2532,99.5472
66.3634,99.5458
66.4747,99.5444
66.5869,99.5429
66.6999,99.5415
66.8134,99.5399
66.9278,99.5385
67.0435,99.537
67.1606,99.5354
67.2785,99.5339
67.3967,99.5324
67.5148,99.5309
67.6331,99.5294
67.7513,99.5277
67.8694,99.5262
67.9873,99.5244
68.1046,99.5229
68.2173,99.5211
68.3335,99.5195
68.4494,99.5179
68.565,99.5163
68.6797,99.5146
68.7891,99.5131
68.9003,99.5114
69.0104,99.5099
69.12,99.5083
69.2289,99.5067
69.3372,99.5053
69.4448,99.5037
69.5525,99.5022
69.6602,99.5007
69.7685,99.4992
69.8776,99.4977
69.9879,99.4961
70.0984,99.4947
70.2088,99.4931
70.3188,99.4916
70.4289,99.4901
70.5354,99.4886
70.6456,99.487
70.7559,99.4854
70.8667,99.4838
70.978,99.4822
71.0857,99.4809
71.1978,99.4793
71.3103,99.4778
71.4239,99.4764
71.5373,99.4749
71.6508,99.4735
71.7649,99.472
71.8789,99.4707
71.9944,99.4692
72.1108,99.4678
72.2288,99.4663
72.3486,99.4647
72.469,99.4633
72.5909,99.4617
72.7134,99.4602
72.8366,99.4584
72.9604,99.4567
73.0845,99.4551
73.2089,99.4532
73.3329,99.4514
73.4562,99.4496
73.5797,99.4478
73.7032,99.4458
73.8257,99.4439
73.9479,99.442
74.0705,99.4401
74.1924,99.4382
74.3143,99.4364
74.4341,99.4347
74.5541,99.4329
74.6741,99.4312
74.7925,99.4296
74.9105,99.4279
75.0294,99.4263
75.1489,99.4248
75.268,99.4233
75.3871,99.4217
75.5062,99.4203
75.6215,99.4188
75.7394,99.4174
75.856,99.416
75.9724,99.4144
76.0892,99.4129
76.2007,99.4114
76.3151,99.4099
76.4288,99.4083
76.5417,99.4067
76.6542,99.4051
76.7654,99.4035
76.8772,99.4019
76.9894,99.4002
77.1017,99.3986
77.2138,99.3971
77.3263,99.3954
77.4399,99.3939
77.554,99.3923
77.6678,99.3907
77.7818,99.3892
77.8963,99.3877
78.0109,99.3862
78.1218,99.3847
78.2378,99.3831
78.3541,99.3818
78.4699,99.3802
78.5853,99.3786
78.6966,99.3771
78.813,99.3754
78.9298,99.3738
79.047,99.3721
79.1635,99.3705
79.2797,99.3687
79.3947,99.3669
79.5092,99.3652
79.6236,99.3633
79.737,99.3615
79.8497,99.3596
79.9609,99.3578
80.0718,99.356
80.182,99.3541
80.2928,99.3523
80.4037,99.3505
80.5098,99.3487
80.6192,99.347
80.7288,99.3452
80.8396,99.3436
80.9516,99.342
81.0614,99.3404
81.1758,99.3388
81.2923,99.3373
81.4095,99.3357
81.5276,99.3342
81.648,99.3327
81.7701,99.3312
81.8932,99.3298
82.0159,99.3283
82.1382,99.3269
82.2601,99.3255
82.382,99.3242
82.5026,99.3228
82.6229,99.3216
82.7426,99.3203
82.8617,99.3192
82.98,99.3181
83.0899,99.317
83.2084,99.3159
83.3267,99.3149
83.4441,99.3138
83.5606,99.3128
83.6689,99.3119
83.7858,99.3108
83.9026,99.3098
84.0191,99.3089
84.1361,99.3079
84.2527,99.3068
84.3685,99.3056
84.4841,99.3045
84.5998,99.3033
84.7162,99.3021
84.8324,99.3008
84.9484,99.2996
85.0644,99.2981
85.1811,99.2967
85.2979,99.2952
85.415,99.2937
85.5286,99.2922
85.6466,99.2905
85.7652,99.2887
85.8838,99.2871
86.0029,99.2853
86.1187,99.2836
86.2389,99.2817
86.3581,99.2798
86.4765,99.278
86.5944,99.2761
86.7111,99.2741
86.8274,99.2722
86.943,99.2702
87.0583,99.2682
87.173,99.2661
87.2873,99.2642
87.4013,99.2621
87.515,99.2601
87.6289,99.258
87.743,99.2559
87.8576,99.254
87.9728,99.2519
88.0851,99.2499
88.203,99.2479
88.322,99.246
88.4423,99.2439
88.5626,99.242
88.6791,99.2401
88.7997,99.2383
88.9204,99.2365
89.0412,99.2346
89.162,99.2328
89.2823,99.231
89.4017,99.2292
89.5207,99.2275
89.6396,99.2256
89.7587,99.224
89.8778,99.2223
89.9968,99.2205
90.1159,99.2189
90.236,99.2173
90.3564,99.2156
90.4768,99.2139
90.598,99.2123
90.7195,99.2107
90.8413,99.2091
90.964,99.2076
91.0872,99.2059
91.2118,99.2044
91.3366,99.2029
91.462,99.2013
91.5879,99.1998
91.714,99.1983
91.8402,99.1968
91.9664,99.1953
92.093,99.1938
92.2194,99.1923
92.3458,99.1907
92.4712,99.1892
92.5965,99.1877
92.7207,99.1861
92.844,99.1846
92.9665,99.1829
93.0876,99.1814
93.2075,99.1797
93.3207,99.1781
93.437,99.1765
93.5526,99.1749
93.6679,99.1732
93.7832,99.1716
93.8947,99.1699
94.0107,99.1683
94.1268,99.1667
94.2435,99.1651
94.3606,99.1635
94.4785,99.1619
94.5962,99.1603
94.7137,99.1587
94.8306,99.1571
94.947,99.1555
95.0623,99.1539
95.1757,99.1523
95.2881,99.1508
95.3988,99.1491
95.5088,99.1476
95.6182,99.1461
95.724,99.1446
95.8345,99.143
95.9458,99.1415
96.0576,99.14
96.1703,99.1385
96.281,99.137
96.3979,99.1354
96.5171,99.1338
96.6373,99.1322
96.759,99.1307
96.8819,99.129
97.0056,99.1275
97.1302,99.1259
97.2546,99.1243
97.3784,99.1226
97.5011,99.121
97.6232,99.1193
97.7451,99.1176
97.8667,99.116
97.9875,99.1144
98.1073,99.1126
98.2268,99.111
98.342,99.1093
98.4621,99.1077
98.5831,99.1061
98.7045,99.1043
98.8256,99.1027
98.942,99.101
99.0626,99.0994
99.183,99.0977
99.3028,99.0961
99.421,99.0944
99.5384,99.0927
99.6548,99.0911
99.7704,99.0894
99.8859,99.0878
100.002,99.086
100.118,99.0844
100.235,99.0828
100.352,99.081
100.47,99.0794
100.589,99.0777
100.709,99.0761
100.82,99.0744
100.94,99.0726
101.06,99.071
101.181,99.0693
101.301,99.0675
101.412,99.0659
101.531,99.0643
101.649,99.0627
101.766,99.0609
101.883,99.0593
102,99.0576
102.118,99.0559
102.236,99.0543
102.357,99.0526
102.479,99.051
102.601,99.0494
102.725,99.0478
102.852,99.0462
102.98,99.0445
103.108,99.0427
103.238,99.0411
103.367,99.0394
103.492,99.0376
103.618,99.036
103.744,99.0343
103.869,99.0325
103.991,99.0309
104.107,99.029
104.227,99.0272
104.346,99.0254
104.465,99.0235
104.582,99.0216
104.7,99.0198
104.817,99.018
104.935,99.0162
105.053,99.0143
105.173,99.0127
105.293,99.0109
105.415,99.0092
105.537,99.0076
105.66,99.006
105.784,99.0044
105.909,99.0029
106.03,99.0015
106.156,98.9999
106.282,98.9985
106.409,98.997
106.536,98.9955
106.658,98.9939
106.785,98.9925
106.913,98.991
107.041,98.9894
107.169,98.9878
107.296,98.9862
107.424,98.9846
107.551,98.9828
107.676,98.9811
107.8,98.9795
107.924,98.9777
108.045,98.9759
108.166,98.9741
108.284,98.9723
108.401,98.9705
108.518,98.9687
108.633,98.9668
108.748,98.965
108.862,98.9632
108.976,98.9614
109.09,98.9596
109.205,98.9579
109.319,98.9562
109.434,98.9544
109.55,98.9527
109.665,98.9511
109.782,98.9494
109.899,98.9478
110.017,98.9461
110.136,98.9445
110.255,98.9428
110.374,98.941
110.494,98.9393
110.613,98.9375
110.732,98.9356
110.851,98.9338
110.969,98.9319
111.088,98.9299
111.202,98.9279
111.32,98.926
111.439,98.9239
111.56,98.922
111.681,98.9199
111.798,98.918
111.92,98.9161
112.043,98.9141
112.167,98.9122
112.293,98.9103
112.419,98.9083
112.545,98.9064
112.671,98.9046
112.795,98.9027
112.918,98.9009
113.041,98.899
113.162,98.8972
113.281,98.8954
113.398,98.8934
113.513,98.8915
113.625,98.8895
113.737,98.8875
113.845,98.8855
113.955,98.8834
114.066,98.8813
114.176,98.8791
114.288,98.8769
114.398,98.8747
114.514,98.8725
114.63,98.8702
114.75,98.868
114.872,98.8656
114.995,98.8633
115.122,98.8611
115.249,98.8588
115.379,98.8564
115.508,98.854
115.638,98.8517
115.767,98.8494
115.896,98.847
116.023,98.8447
116.149,98.8422
116.274,98.8398
116.392,98.8374
116.514,98.8349
116.633,98.8321
116.75,98.8295
116.868,98.8269
116.98,98.8243
117.095,98.8217
117.209,98.819
117.324,98.8164
117.439,98.8137
117.553,98.8109
117.668,98.8084
117.783,98.8057
117.9,98.803
118.018,98.8004
118.137,98.7978
118.256,98.7952
118.377,98.7927
118.499,98.7902
118.622,98.7879
118.745,98.7854
118.869,98.7829
118.984,98.7806
119.11,98.7781
119.237,98.7758
119.364,98.7733
119.491,98.7708
119.609,98.7683
119.735,98.7657
119.862,98.7632
119.989,98.7606
120.116,98.758
120.241,98.7554
120.365,98.7526
120.488,98.75
120.609,98.7472
120.729,98.7446
120.848,98.7419
120.966,98.7392
121.083,98.7366
121.2,98.734
121.317,98.7313
121.434,98.7287
121.547,98.7261
121.665,98.7235
121.784,98.7209
121.903,98.7184
122.024,98.7158
122.142,98.7132
122.264,98.7106
122.387,98.708
122.51,98.7055
122.633,98.7029
122.757,98.7004
122.88,98.6978
123.002,98.6953
123.126,98.6928
123.249,98.6903
123.372,98.6878
123.494,98.6854
123.617,98.6829
123.74,98.6805
123.863,98.6781
123.986,98.6757
124.111,98.6732
124.231,98.6709
124.355,98.6685
124.479,98.6661
124.602,98.6637
124.725,98.6612
124.844,98.6589
124.967,98.6564
125.089,98.6541
125.21,98.6516
125.331,98.6491
125.452,98.6466
125.573,98.6441
125.695,98.6417
125.816,98.6392
125.938,98.6367
126.061,98.6343
126.184,98.6319
126.308,98.6296
126.433,98.6273
126.557,98.6249
126.682,98.6226
126.807,98.6203
126.933,98.6181
127.058,98.6159
127.182,98.6136
127.306,98.6114
127.428,98.6092
127.55,98.6069
127.671,98.6047
127.792,98.6024
127.911,98.6002
128.03,98.5978
128.149,98.5955
128.267,98.5933
128.385,98.5909
128.502,98.5886
128.619,98.5864
128.736,98.5841
128.852,98.5818
128.969,98.5795
129.086,98.5773
129.205,98.5751
129.323,98.5729
129.436,98.5707
129.556,98.5685
129.676,98.5664
129.797,98.5642
129.919,98.5623
130.037,98.5602
130.161,98.5582
130.285,98.5563
130.409,98.5543
130.535,98.5524
130.661,98.5505
130.787,98.5486
130.913,98.5467
131.039,98.5449
131.166,98.5431
131.293,98.5413
131.419,98.5394
131.543,98.5376
131.667,98.5358
131.79,98.534
131.912,98.5321
132.029,98.5303
132.151,98.5285
132.271,98.5266
132.392,98.5248
132.512,98.523
132.629,98.5212
132.751,98.5193
132.873,98.5173
132.995,98.5154
133.118,98.5135
133.241,98.5114
133.364,98.5094
133.487,98.5074
133.611,98.5054
133.734,98.5033
133.857,98.5011
133.979,98.4989
134.101,98.4967
134.222,98.4946
134.342,98.4924
134.462,98.4903
134.581,98.4881
134.696,98.4861
134.815,98.484
134.934,98.482
135.054,98.48
135.174,98.4779
135.291,98.476
135.412,98.4741
135.535,98.4723
135.659,98.4705
135.784,98.4686
135.91,98.4669
136.036,98.4652
136.164,98.4635
136.292,98.4618
136.422,98.4601
136.551,98.4584
136.681,98.4568
136.812,98.455
136.942,98.4533
137.07,98.4516
137.198,98.4498
137.316,98.448
137.441,98.4463
137.564,98.4444
137.686,98.4428
137.808,98.4409
137.92,98.4392
138.039,98.4374
138.158,98.4356
138.278,98.4338
138.398,98.432
138.518,98.4302
138.639,98.4285
138.761,98.4268
138.885,98.4251
139.01,98.4236
139.136,98.422
139.263,98.4204
139.392,98.4188
139.521,98.4171
139.65,98.4155
139.778,98.4138
139.907,98.4122
140.03,98.4105
140.156,98.4087
140.281,98.4071
140.406,98.4052
140.529,98.4034
140.646,98.4016
140.766,98.3996
140.887,98.3976
141.007,98.3957
141.127,98.3937
141.246,98.3918
141.366,98.39
141.485,98.3881
141.604,98.3863
141.722,98.3845
141.84,98.3827
141.959,98.381
142.078,98.3792
142.197,98.3776
142.318,98.3759
142.439,98.3743
142.557,98.3726
142.68,98.371
142.803,98.3694
142.928,98.3678
143.055,98.3662
143.178,98.3646
143.307,98.363
143.436,98.3613
143.565,98.3598
143.695,98.3582
143.825,98.3565
143.955,98.355
144.085,98.3533
144.215,98.3518
144.344,98.3503
144.47,98.3488
144.594,98.3472
144.717,98.3456
144.837,98.3442
144.955,98.3427
145.071,98.3412
145.186,98.3398
145.3,98.3383
145.412,98.3369
145.525,98.3354
145.638,98.3341
145.751,98.3327
145.864,98.3313
145.979,98.3299
146.096,98.3285
146.214,98.3272
146.334,98.3258
146.454,98.3244
146.577,98.3231
146.701,98.3218
146.825,98.3207
146.951,98.3194
147.078,98.3183
147.203,98.3172
147.328,98.3163
147.453,98.3153
147.577,98.3145
