dataset_source,phase,type,wt_pct,wavelength_(nm),mms1,mms2,jsc_mars-1,mgs-1_prototype,temperature_(¡c),m/z_18_(h2o),m/z_32_(o2),m/z_44_(co2),m/z_64_(so2),mass_(%),diameter_(microns),%_retained,%_channel
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Plagioclase,Crystalline,27.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Pyroxene,Crystalline,20.3,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Olivine,Crystalline,13.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Magnetite,Crystalline,1.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hematite,Crystalline,1.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Anhydrite,Crystalline,0.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Quartz,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ilmenite,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Basaltic Glass,Amorphous,22.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hydrated Silica (Opal),Amorphous,5.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Mg-sulfate,Amorphous,4.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ferrihydrite,Amorphous,1.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Fe-carbonate,Amorphous,1.4,,,,,,,,,,,,,,
fig4_spectralData.csv,,,,411.0,0.081626,0.0820673,0.0229997,0.0939797,,,,,,,,,
fig4_spectralData.csv,,,,412.0,0.0820621,0.082496,0.0232396,0.0943762,,,,,,,,,
fig4_spectralData.csv,,,,413.0,0.0823993,0.0827669,0.0234287,0.0946746,,,,,,,,,
fig4_spectralData.csv,,,,414.0,0.0825385,0.0827617,0.0235797,0.0949132,,,,,,,,,
fig4_spectralData.csv,,,,415.0,0.082557,0.0826313,0.0238495,0.0952218,,,,,,,,,
fig4_spectralData.csv,,,,416.0,0.0829323,0.0828831,0.024197,0.0955119,,,,,,,,,
fig4_spectralData.csv,,,,417.0,0.0833409,0.083244,0.0244398,0.095801,,,,,,,,,
fig4_spectralData.csv,,,,418.0,0.0834907,0.083414,0.0244967,0.0961096,,,,,,,,,
fig4_spectralData.csv,,,,419.0,0.0837267,0.0835486,0.0246667,0.0964158,,,,,,,,,
fig4_spectralData.csv,,,,420.0,0.0838802,0.0835586,0.0249656,0.0966863,,,,,,,,,
fig4_spectralData.csv,,,,421.0,0.0839952,0.0835426,0.0252726,0.0969603,,,,,,,,,
fig4_spectralData.csv,,,,422.0,0.0843132,0.0837712,0.0253461,0.0973418,,,,,,,,,
fig4_spectralData.csv,,,,423.0,0.0845734,0.0839687,0.0256445,0.0977143,,,,,,,,,
fig4_spectralData.csv,,,,424.0,0.0848017,0.0841,0.0260505,0.0980145,,,,,,,,,
fig4_spectralData.csv,,,,425.0,0.0850684,0.0842057,0.0263616,0.0982387,,,,,,,,,
fig4_spectralData.csv,,,,426.0,0.085311,0.0843817,0.0266983,0.0985769,,,,,,,,,
fig4_spectralData.csv,,,,427.0,0.0855431,0.0845608,0.0269271,0.098916,,,,,,,,,
